action.Malware,action.Hacking,action.Social,action.Physical,action.Misuse,action.Error,Actor
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,External
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Partner
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Partner
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Internal
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Internal
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,External
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,External
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,External
